BGC,KG
BAFAun,ET
BAFAunp,ET
BG  xh 1,Cfb
BG  xh 2,Dfb
BG  xh 3,Dfb
BG  xw 1,Dfb
BG  xw 2,Dfb
BWBSdk,Dsc
BWBSmk,Dfc
BWBSmw,Dfc
BWBSvk,Dfc
BWBSwk 1,Dfc
BWBSwk 2,Dfc
BWBSwk 3,Dfc
CDF mm,Csb
CMA un,ET
CMA unp,ET
CMA wh,Cfc
CWH dm,Cfb
CWH ds 1,Cfb
CWH ds 2,Dfb
CWH mm 1,Cfb
CWH mm 2,Cfb
CWH ms 1,Dfb
CWH ms 2,Cfb
CWH un,Dfc
CWH vh 1,Cfb
CWH vh 2,Cfb
CWH vh 3,Cfb
CWH vm 1,Cfb
CWH vm 1N,Cfb
CWH vm 2,Cfb
CWH wh 1,Cfb
CWH wh 2,Cfc
CWH wm,Dfc
CWH ws 1,Dfb
CWH ws 2,Dfc
CWH xm 1,Cfb
CWH xm 2,Cfb
ESSFdc 1,Dfc
ESSFdc 2,Dfc
ESSFdc 3,Dfc
ESSFdcp,ET
ESSFdcw,Dfc
ESSFdh 1,Dfc
ESSFdh 2,Dfc
ESSFdk 1,Dfc
ESSFdk 2,Dfc
ESSFdkp,ET
ESSFdkw,Dfc
ESSFdv 1,Dfc
ESSFdv 2,Dfc
ESSFdvp,ET
ESSFdvw,ET
ESSFmc,Dfc
ESSFmcp,ET
ESSFmh,Dfc
ESSFmk,Dfc
ESSFmkp,ET
ESSFmm 1,Dfc
ESSFmm 2,Dfc
ESSFmmp,ET
ESSFmmw,Dfc
ESSFmv 1,Dfc
ESSFmv 2,Dfc
ESSFmv 3,Dfc
ESSFmv 4,Dfc
ESSFmvp,ET
ESSFmw,Dfc
ESSFmw 1,Dfc
ESSFmw 2,Dfc
ESSFmwp,ET
ESSFmww,Dfc
ESSFun,Dfc
ESSFunp,ET
ESSFvc,Dfc
ESSFvcp,ET
ESSFvcw,Dfc
ESSFvk,Dfc
ESSFvm,Dfc
ESSFwc 2,Dfc
ESSFwc 3,Dfc
ESSFwc 4,Dfc
ESSFwcp,ET
ESSFwcw,Dfc
ESSFwh 1,Dfc
ESSFwh 2,Dfc
ESSFwh 3,Dfc
ESSFwk 1,Dfc
ESSFwk 2,Dfc
ESSFwm 1,Dfc
ESSFwm 2,Dfc
ESSFwm 3,Dfc
ESSFwm 4,Dfc
ESSFwmp,ET
ESSFwmw,Dfc
ESSFwv,Dfc
ESSFwvp,ET
ESSFxc 1,Dfc
ESSFxc 2,Dfc
ESSFxc 3,Dfc
ESSFxcp,ET
ESSFxcw,ET
ESSFxv 1,ET
ESSFxv 2,ET
ESSFxvp,ET
ESSFxvw,ET
ICH dk,Dfc
ICH dm,Dfb
ICH dw 1,Dfb
ICH dw 3,Dfb
ICH mc 1,Dfc
ICH mc 2,Dfb
ICH mk 1,Dfb
ICH mk 2,Dfc
ICH mk 3,Dfc
ICH mk 4,Dfc
ICH mk 5,Dfc
ICH mm,Dfc
ICH mw 1,Dfc
ICH mw 2,Dfb
ICH mw 3,Dfb
ICH mw 4,Dfb
ICH mw 5,Dfb
ICH mw 6,Dfb
ICH vc,Dfc
ICH vk 1,Dfc
ICH vk 2,Dfc
ICH wc,Dfc
ICH wk 1,Dfb
ICH wk 2,Dfc
ICH wk 3,Dfc
ICH wk 4,Dfc
ICH xw,Dfb
IDF dc,Dsc
IDF dh,Dfb
IDF dk 1,Dfc
IDF dk 2,Dfb
IDF dk 3,Dfc
IDF dk 4,Dfc
IDF dk 5,Dfb
IDF dm 1,Dfb
IDF dm 2,Dfb
IDF dw,Dsc
IDF mw 1,Dfb
IDF mw 2,Dfb
IDF ww,Dfb
IDF ww 1,Dsb
IDF xc,Dfb
IDF xh 1,Dfb
IDF xh 2,Dfb
IDF xk,Dfb
IDF xm,Dfb
IDF xw,Dfb
IDF xx 1,Dfb
IDF xx 2,Dfb
IMA un,ET
IMA unp,ET
MH  mm 1,Dfc
MH  mm 2,Dfc
MH  mmp,Dfc
MH  un,Dfc
MH  unp,ET
MH  wh,Cfc
MH  wh 1,Dfc
MH  whp,Dfc
MS  dc 1,Dfc
MS  dc 2,Dfc
MS  dc 3,Dfc
MS  dk,Dfc
MS  dm 1,Dfc
MS  dm 2,Dfc
MS  dm 3,Dfc
MS  dv,Dfc
MS  dw,Dfc
MS  un,Dfc
MS  xk 1,Dfc
MS  xk 2,Dfc
MS  xk 3,Dfc
MS  xv,Dfc
PP  xh 1,Dfb
PP  xh 2,Dfb
PP  xw,Dsb
SBPSdc,Dfc
SBPSmc,Dfc
SBPSmk,Dfc
SBPSxc,Dfc
SBS dh 1,Dfb
SBS dh 2,Dfc
SBS dk,Dfc
SBS dw 1,Dfc
SBS dw 2,Dfc
SBS dw 3,Dfc
SBS mc 1,Dfc
SBS mc 2,Dfc
SBS mc 3,Dfc
SBS mh,Dfb
SBS mk 1,Dfc
SBS mk 2,Dfc
SBS mm,Dfc
SBS mw,Dfc
SBS un,Dfc
SBS vk,Dfc
SBS wk 1,Dfc
SBS wk 2,Dfc
SBS wk 3,Dfc
SWB mk,Dfc
SWB mks,ET
SWB un,Dsc
SWB uns,ET
SWB vk,Dfc
SWB vks,ET
